timestamp,provider,from_region,to_region,latency_ms
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,eu-central-1,236.82
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,eu-central-2,230.55
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,eu-north-1,255.73
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,eu-south-1,227.77
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,eu-south-2,244.50
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,eu-west-1,215.87
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,eu-west-2,227.34
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,eu-west-3,232.84
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,il-central-1,281.81
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,me-central-1,168.15
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,me-south-1,166.63
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,mx-central-1,163.89
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,sa-east-1,272.15
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,us-east-1,160.35
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,us-east-2,147.30
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,us-west-1,112.36
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-3,us-west-2,103.97
2025-12-03 20:43:49,cloudping.co AWS,ap-south-1,af-south-1,282.50
2025-12-03 20:43:49,cloudping.co AWS,ap-south-1,ap-east-1,100.02
2025-12-03 20:43:49,cloudping.co AWS,ap-south-1,ap-east-2,111.46
2025-12-03 20:43:49,cloudping.co AWS,ap-south-1,ap-northeast-1,133.30
2025-12-03 20:43:49,cloudping.co AWS,ap-south-1,ap-northeast-2,134.49
2025-12-03 20:43:49,cloudping.co AWS,ap-south-1,ap-northeast-3,140.01
2025-12-03 20:43:49,cloudping.co AWS,ap-south-1,ap-south-1,5.66
2025-12-03 20:43:49,cloudping.co AWS,ap-south-1,ap-south-2,16.61
2025-12-03 20:43:49,cloudping.co AWS,ap-south-1,ap-southeast-1,65.24
2025-12-03 20:43:49,cloudping.co AWS,ap-south-1,ap-southeast-2,155.60
2025-12-03 20:43:49,cloudping.co AWS,ap-south-1,ap-southeast-3,80.10
2025-12-03 20:43:49,cloudping.co AWS,ap-south-1,ap-southeast-4,167.28
2025-12-03 20:43:49,cloudping.co AWS,ap-south-1,ap-southeast-5,70.22
2025-12-03 20:43:49,cloudping.co AWS,ap-south-1,ap-southeast-6,183.67
2025-12-03 20:43:49,cloudping.co AWS,ap-south-1,ap-southeast-7,91.43
